Year;AC;Province;Judicial District;Population;Proportion of women;Proportion of foreigners;Dependency ratio;Population density;Degree of ageing;Live Births by maternal residence;Marriages;Deaths:;Natural growth;Under 16-year-olds male;Under 16-year-olds female;Total under 16-year-olds;Under 18-year-olds male;Under 18-year-olds female;Total under 18-year-olds
2025;Canarias;Santa Cruz de Tenerife;Santa Cruz de Tenerife;229526;0,52177531085803;0,078792816500092;0,44928396433713;1209,6231640878;0,10317785348937;1074;777;2226;-1152;13309;12763;26072;15814;15031;30845
2025;Comunidad Foral de Navarra;Navarra;Tudela;103089;0,49636721667685;0,18856522034359;0,54711629372833;93,111202810638;0,008806236232348;778;303;917;-139;8748;8070;16818;9998;9220;19218
2025;Comunidad de Madrid;Madrid;Alcalá de Henares;255146;0,51297296449876;0,16577959286056;0,47251719839328;677,12109818576;0,016777916102225;1837;969;1649;188;19465;18179;37644;22670;21171;43841
2025;Galicia;A Coruña;Ordes;35087;0,51021745945792;0,05492062587283;0,6498330747167;46,591331956967;0,040576688964981;175;123;454;-279;2157;2012;4169;2495;2292;4787
2025;Cataluña;Barcelona;Mollet del Vallès;109034;0,50447566814021;0,11622979987894;0,47957065121518;2262,5856071794;0,028071191423907;600;420;864;-264;7833;7380;15213;9184;8656;17840
2025;Cataluña;Barcelona;"L'Hospitalet de Llobregat";292161;0,51087242992733;0,27338693391657;0,46453957591859;21482,425868022;0,18734191079576;2127;642;2223;-96;21027;19777;40804;24099;22584;46683
2025;Comunidad Foral de Navarra;Navarra;Aoiz/Agoitz;76326;0,49127427089065;0,084912087624139;0,49149958963536;25,748926996902;0,0023361960537694;464;283;473;-9;7616;7201;14817;8740;8150;16890
2025;Galicia;A Coruña;Ortigueira;19073;0,51182299585802;0,069207780632307;0,75658500644686;36,285290091563;0,058721753263776;56;49;314;-258;854;763;1617;995;876;1871
2025;Comunidad Foral de Navarra;Navarra;Estella/Lizarra;65974;0,49122381544245;0,13261284748537;0,60423100303951;34,10443171271;0,0034028556704156;436;181;758;-322;4852;4561;9413;5544;5238;10782
2025;Cataluña;Tarragona;Amposta;72825;0,49157569515963;0,21496738757295;0,53000126055717;99,115345998801;0,018131365144753;453;232;780;-327;5186;5041;10227;6106;5833;11939
2025;Galicia;A Coruña;Padrón;26038;0,51317305476611;0,02377294723097;0,62291199202194;110,23242073122;0,069965051079192;109;67;349;-240;1529;1433;2962;1768;1633;3401
2025;Cataluña;Barcelona;Esplugues de Llobregat;69469;0,52397472253811;0,15153521714722;0,58128471273787;5643,298157832;0,11089838633059;415;221;521;-106;5646;5268;10914;6425;6065;12490
2025;Cataluña;Barcelona;Cornellà de Llobregat;92255;0,51529998374072;0,18475963362419;0,4953399789286;13389,695469915;0,20198363232345;608;283;749;-141;6648;6316;12964;7658;7305;14963
2025;Comunidad de Madrid;Madrid;Alcobendas;256309;0,51763301327694;0,1614613610915;0,46520894071914;923,60275229218;0,023682909523828;1654;935;1322;332;21652;20581;42233;24899;23615;48514
